"Title","Household Final Consumption Expenditure: Food & drink: One quarter growth rate %: Current Price: Seasonally Adjusted"
"CDID","KG9R"
"Source dataset ID","QNA"
"PreUnit",""
"Unit","%"
"Release date","30-09-2019"
"Next release","11 November 2019"
"Important notes",
"1985 Q2","1.5"
"1985 Q3","1.5"
"1985 Q4","1.6"
"1986 Q1","1.9"
"1986 Q2","1.6"
"1986 Q3","1.2"
"1986 Q4","1.0"
"1987 Q1","0.3"
"1987 Q2","1.1"
"1987 Q3","3.9"
"1987 Q4","2.6"
"1988 Q1","1.9"
"1988 Q2","-1.7"
"1988 Q3","1.7"
"1988 Q4","0.6"
"1989 Q1","3.8"
"1989 Q2","2.0"
"1989 Q3","0.8"
"1989 Q4","2.7"
"1990 Q1","2.0"
"1990 Q2","2.8"
"1990 Q3","0.6"
"1990 Q4","0.1"
"1991 Q1","2.4"
"1991 Q2","2.2"
"1991 Q3","0.6"
"1991 Q4","-0.4"
"1992 Q1","-0.5"
"1992 Q2","2.9"
"1992 Q3","0.3"
"1992 Q4","0.3"
"1993 Q1","1.9"
"1993 Q2","-0.4"
"1993 Q3","0.3"
"1993 Q4","1.3"
"1994 Q1","0.1"
"1994 Q2","-0.8"
"1994 Q3","1.1"
"1994 Q4","0.4"
"1995 Q1","4.2"
"1995 Q2","-2.5"
"1995 Q3","3.1"
"1995 Q4","-2.2"
"1996 Q1","5.4"
"1996 Q2","0.5"
"1996 Q3","3.2"
"1996 Q4","0.2"
"1997 Q1","-1.9"
"1997 Q2","-0.7"
"1997 Q3","0.6"
"1997 Q4","3.7"
"1998 Q1","-1.7"
"1998 Q2","1.8"
"1998 Q3","2.0"
"1998 Q4","-0.2"
"1999 Q1","1.1"
"1999 Q2","3.1"
"1999 Q3","-1.2"
"1999 Q4","-4.8"
"2000 Q1","3.7"
"2000 Q2","-1.7"
"2000 Q3","2.5"
"2000 Q4","-0.2"
"2001 Q1","1.8"
"2001 Q2","-0.2"
"2001 Q3","1.9"
"2001 Q4","2.3"
"2002 Q1","-2.3"
"2002 Q2","0.2"
"2002 Q3","2.2"
"2002 Q4","3.8"
"2003 Q1","-0.9"
"2003 Q2","4.8"
"2003 Q3","-0.5"
"2003 Q4","-1.1"
"2004 Q1","4.7"
"2004 Q2","-2.7"
"2004 Q3","0.1"
"2004 Q4","2.4"
"2005 Q1","1.0"
"2005 Q2","0.6"
"2005 Q3","-0.9"
"2005 Q4","2.6"
"2006 Q1","0.4"
"2006 Q2","0.2"
"2006 Q3","2.6"
"2006 Q4","-0.2"
"2007 Q1","1.2"
"2007 Q2","0.8"
"2007 Q3","0.6"
"2007 Q4","3.8"
"2008 Q1","0.2"
"2008 Q2","3.0"
"2008 Q3","1.5"
"2008 Q4","-0.9"
"2009 Q1","0.8"
"2009 Q2","2.4"
"2009 Q3","-1.5"
"2009 Q4","0.0"
"2010 Q1","-1.1"
"2010 Q2","4.3"
"2010 Q3","-0.5"
"2010 Q4","-0.3"
"2011 Q1","4.7"
"2011 Q2","0.4"
"2011 Q3","2.9"
"2011 Q4","-0.3"
"2012 Q1","1.1"
"2012 Q2","-0.9"
"2012 Q3","0.8"
"2012 Q4","3.0"
"2013 Q1","-0.3"
"2013 Q2","0.1"
"2013 Q3","1.2"
"2013 Q4","1.1"
"2014 Q1","0.1"
"2014 Q2","-0.1"
"2014 Q3","0.4"
"2014 Q4","-1.2"
"2015 Q1","-2.2"
"2015 Q2","0.5"
"2015 Q3","0.4"
"2015 Q4","1.1"
"2016 Q1","1.1"
"2016 Q2","1.2"
"2016 Q3","1.6"
"2016 Q4","0.9"
"2017 Q1","1.8"
"2017 Q2","1.5"
"2017 Q3","0.9"
"2017 Q4","1.4"
"2018 Q1","0.9"
"2018 Q2","0.5"
"2018 Q3","0.6"
"2018 Q4","0.2"
"2019 Q1","0.5"
"2019 Q2","0.7"
